# AlifeAmbience file audit - every file checked with ffprobe (rate/channels/duration) + ffmpeg astats (peak dB)
# run start: 2026-08-06 05:40:23
checked_at	set	taken	path	rate	channels	dur_s	peak_dB	verdict
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/11.ogg	44100	2	2.152540	-18.595933	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/2.ogg	44100	2	3.005760	-18.279018	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/3.ogg	44100	2	2.885306	-19.889725	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/4.ogg	44100	2	3.127732	-20.684513	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/5.ogg	44100	2	2.818549	-19.186395	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/6.ogg	44100	2	2.259660	-18.886165	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/7.ogg	44100	2	1.810839	-19.222785	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/8.ogg	44100	2	1.795306	-19.639854	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_retune/9.ogg	44100	2	2.890181	-18.347307	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/1.ogg	44100	1	12.331701	-20.747046	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/10.ogg	44100	1	15.610567	-23.186639	OK
05:40:28	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/11.ogg	44100	1	11.629796	-19.576434	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/2.ogg	44100	1	12.331701	-19.507742	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/4.ogg	44100	1	9.399048	-25.651506	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/3.ogg	44100	1	12.331701	-23.183232	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/12.ogg	44100	1	17.778798	-20.894811	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/5.ogg	44100	1	10.254762	-21.609395	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/6.ogg	44100	1	15.610567	-22.949719	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/7.ogg	44100	1	15.610567	-24.348270	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/8.ogg	44100	1	15.610567	-21.069194	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_crows_spook/9.ogg	44100	1	15.610567	-21.143711	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/12.ogg	44100	2	10.607075	-11.507470	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/1.ogg	44100	2	6.312472	-5.576823	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/11.ogg	44100	2	8.666757	-11.543451	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/10.ogg	44100	2	9.810635	-5.517656	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/13.ogg	44100	2	10.962812	-11.580919	OK
05:40:29	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/14.ogg	44100	2	13.631678	-11.522498	OK
05:40:30	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/3.ogg	44100	2	6.467642	-10.843194	OK
05:40:30	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/16.ogg	44100	2	11.152948	-9.832389	OK
05:40:30	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/4.ogg	44100	2	10.770363	-10.882315	OK
05:40:30	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/5.ogg	44100	2	3.395556	-2.690941	OK
05:40:30	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/15.ogg	44100	2	11.256689	-11.522970	OK
05:40:30	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/17.ogg	44100	2	21.402585	-11.603376	OK
05:40:30	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/2.ogg	44100	2	9.216508	-10.244073	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/6.ogg	44100	2	3.266213	-3.631363	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_day_drones/1.ogg	44100	2	1.106939	-18.665466	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_day_drones/2.ogg	44100	2	0.806032	-16.536863	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_day_drones/3.ogg	44100	2	1.106939	-17.259222	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/9.ogg	44100	2	8.149388	-6.165699	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/8.ogg	44100	2	9.701587	-11.451726	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_day_drones/4.ogg	44100	2	0.806032	-19.607253	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dark_signal/7.ogg	44100	2	8.440295	-5.378646	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_day_drones/6.ogg	44100	2	1.320000	-14.092555	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_day_drones/5.ogg	44100	2	2.658685	-17.725934	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_day_drones/7.ogg	44100	2	1.320000	-14.608637	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/1.ogg	44100	2	1.738027	-28.584547	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/10.ogg	44100	2	1.661361	-28.531685	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/11.ogg	44100	2	1.954082	-30.131021	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/12.ogg	44100	2	2.948889	-27.562077	OK
05:40:31	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/13.ogg	44100	2	1.806689	-28.479468	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/14.ogg	44100	2	1.598957	-26.455140	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/15.ogg	44100	2	1.598957	-26.455140	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/16.ogg	44100	2	2.645329	-27.851937	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/17.ogg	44100	2	2.331633	-29.293116	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/18.ogg	44100	2	1.734671	-28.953108	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/2.ogg	44100	2	2.048322	-28.891489	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/3.ogg	44100	2	2.155918	-29.186943	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/4.ogg	44100	2	1.897143	-30.535260	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/5.ogg	44100	2	1.450454	-28.398292	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/6.ogg	44100	2	2.179206	-29.285792	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/7.ogg	44100	2	2.745102	-29.525695	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/8.ogg	44100	2	1.661361	-28.531685	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_dogs/9.ogg	44100	2	1.734671	-28.953108	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/1.ogg	44100	2	10.218707	-14.668461	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/11.ogg	44100	2	9.297596	-26.226312	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/12.ogg	44100	2	1.320000	-11.569686	OK
05:40:32	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/10.ogg	44100	2	14.460317	-18.845284	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/3.ogg	44100	2	3.727868	-18.937024	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/5.ogg	44100	2	0.806032	-18.998981	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/4.ogg	44100	2	2.323469	-24.205394	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/2.ogg	44100	2	8.124921	-18.990705	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/6.ogg	44100	2	0.806032	-18.542751	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/7.ogg	44100	2	0.806032	-20.744701	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/9.ogg	44100	2	0.806032	-21.755709	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/1.ogg	44100	2	1.031995	-25.835104	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_drones/8.ogg	44100	2	10.639751	-28.840785	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/10.ogg	44100	2	2.527052	-21.128752	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/11.ogg	44100	2	6.317868	-18.754103	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/12.ogg	44100	2	6.317868	-21.970566	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/13.ogg	44100	2	3.480000	-22.630726	OK
05:40:33	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/14.ogg	44100	2	14.460317	-17.568681	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/15.ogg	44100	2	14.460317	-30.873675	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/2.ogg	44100	2	1.082676	-26.503533	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/16.ogg	44100	2	14.460317	-25.509344	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/17.ogg	44100	2	14.460317	-34.088042	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/18.ogg	44100	2	14.460317	-29.920347	OK
05:40:34	DEPLOYED	YES	gamedata/sounds/zs/aa_foliage_spook/19.ogg	44100	2	14.460317	-24.136641	OK
