pack	file	status
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_7.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_8.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/lar_nature/metro_tunnels/tun_noise_9.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/mine/wind_mine_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/mine/wind_mine_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/mine/wind_mine_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/new_wind2a.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/new_wind2b.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/dist_wind_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/dist_wind_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/dist_wind_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/dist_wind_short_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/dist_wind_short_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/dist_wind_short_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/swamp_wind_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/swamp_wind_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/swamp_wind_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/swamp_wind_short_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/outdoors/swamp_wind_short_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rain.ogg	INTRA-DUP-excluded
DarkSigWeather	ambient/rain_helm.ogg	INTRA-DUP-excluded
DarkSigWeather	ambient/rain_indoors.ogg	INTRA-DUP-excluded
DarkSigWeather	ambient/rain_indoors2.ogg	HELD-loop-surplus
DarkSigWeather	ambient/rain_l.ogg	HELD-loop-surplus
DarkSigWeather	ambient/rain_r.ogg	SILENCE-excluded
DarkSigWeather	ambient/rainonroof.ogg	HELD-loop-surplus
DarkSigWeather	ambient/rnd_outdoor/ambient_wind_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/ambient_wind_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/ambient_wind_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/ambient_wind_4.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/heavy_wind_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/heavy_wind_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/heavy_wind_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/heavy_wind_4.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_dark7.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_dark8.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_darkwind1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_darkwind2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_darkwind3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_darkwind4.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_darkwind5.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_darkwind6.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_drone1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_drone2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_obval.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_wind_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_wind_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_wind_3.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_wind_4.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rnd_outdoor/rnd_wind_tree.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rt_ambient1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rt_ambient2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rt_dark_indoor_amb1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/rt_eerie_wind1.ogg	BASE-DUP-excluded
