deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\dark_signal\all\walkie_talkie_signal6_88a0338fbe	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal6	1.0
zs\dark_signal\all\walkie_talkie_signal7_5c79ad18eb	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal7	1.0
zs\dark_signal\all\walkie_talkie_signal8_22e1d7947a	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal8	3.825
zs\dark_signal\all\walkie_talkie_signal9_8b1e077b10	dark_signal	DeadAir	ambient/lar_ambients/metro_horror	walkie_talkie_signal9	1.0
zs\drip\all\sound_01_d94a12e8e3	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_01	1.5
zs\drip\all\sound_02_449f347d84	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_02	1.5
zs\drip\all\sound_03_3f0fab9ef3	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_03	1.5
zs\drip\all\sound_04_160d401416	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_04	1.5
zs\drip\all\sound_05_c5477f0627	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_05	1.5
zs\drip\all\sound_06_55dba2b775	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_06	1.5
zs\drip\all\sound_07_c3e6e5fa8a	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_07	1.676
zs\drip\all\sound_08_bc82e667a4	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_08	1.534
zs\drip\all\sound_09_3097e1f67c	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_09	1.5
zs\drip\all\sound_10_745b854eaa	drip	Amplified	ambient/soundscape/underground/spooks_below/water_drip	sound_10	1.5
zs\drip\all\sound_01_7dcf098e21	drip	AudioExpansion	ambient/trx/spooks_below/water_drip	sound_01	4.617
